year,exporter_name,exporter_group,importer_name,importer_group,v,q
2012,Afghanistan,Rest of World,Pakistan,Rest of World,208.0,0.248
2012,Afghanistan,Rest of World,Pakistan,Rest of World,96.0,0.054
2012,Argentina,Argentina,Bangladesh,Rest of World,8109724.0,13445.67
2012,Argentina,Argentina,Bangladesh,Rest of World,53801628.0,95835.327
2012,Argentina,Argentina,Belgium,European Union,72.0,0.213
2012,Argentina,Argentina,Belgium,European Union,132100.0,217.517
2012,Argentina,Argentina,Bolivia (Plurinational State of),Rest of World,6577089.0,9903.169
2012,Argentina,Argentina,Brazil,Brazil,5984.0,5.591
2012,Argentina,Argentina,Brazil,Brazil,103118.0,224.7
2012,Argentina,Argentina,Canada,Canada,23451.0,17.617
2012,Argentina,Argentina,Canada,Canada,499283.0,767.063
2012,Argentina,Argentina,Chile,Rest of World,1241.0,0.086
2012,Argentina,Argentina,Chile,Rest of World,8915626.0,17853.468
2012,Argentina,Argentina,China,China,2740406018.0,5293928.451
2012,Argentina,Argentina,Colombia,Rest of World,42129589.0,83466.119
2012,Argentina,Argentina,Costa Rica,Central America & Caribbean,113.0,0.005
2012,Argentina,Argentina,Estonia,European Union,1190352.0,2555.9
2012,Argentina,Argentina,Germany,European Union,40713128.0,87334.66
2012,Argentina,Argentina,Indonesia,Other ASEAN,1438002.0,2551.48
2012,Argentina,Argentina,Iran,Middle East,71510496.0,127659.28
2012,Argentina,Argentina,Italy,European Union,6296748.0,10007.79
2012,Argentina,Argentina,Japan,Japan,253734.0,336.681
2012,Argentina,Argentina,Rep. of Korea,Rest of World,26.0,0.003
2012,Argentina,Argentina,Rep. of Korea,Rest of World,28247.0,36.003
2012,Argentina,Argentina,Malaysia,Other ASEAN,34041.0,43.66
2012,Argentina,Argentina,"Other Asia, nes",Rest of World,1056193.0,1173.01
2012,Argentina,Argentina,Netherlands,European Union,26.0,0.002
2012,Argentina,Argentina,Nigeria,Rest of Africa,2445000.0,5000.0
2012,Argentina,Argentina,Panama,Central America & Caribbean,628619.0,1364.985
2012,Argentina,Argentina,Paraguay,Paraguay,10459780.0,12831.028
2012,Argentina,Argentina,Peru,Rest of World,4400032.0,8968.909
2012,Argentina,Argentina,Philippines,Other ASEAN,92411.0,163.56
2012,Argentina,Argentina,Saudi Arabia,Middle East,32423.0,43.651
2012,Argentina,Argentina,Singapore,Other ASEAN,50693.0,65.49
2012,Argentina,Argentina,Slovakia,European Union,215227.0,395.34
2012,Argentina,Argentina,Viet Nam,Other ASEAN,22528638.0,41961.322
2012,Argentina,Argentina,Slovenia,European Union,122.0,0.054
2012,Argentina,Argentina,South Africa,Rest of Africa,114893.0,43.009
2012,Argentina,Argentina,South Africa,Rest of Africa,14219.0,26.0
2012,Argentina,Argentina,Spain,European Union,217813.0,329.585
2012,Argentina,Argentina,Syria,Middle East,12609688.0,24961.0
2012,Argentina,Argentina,Thailand,Thailand,25884508.0,47768.549
2012,Argentina,Argentina,Tunisia,Rest of Africa,3172150.0,5236.684
2012,Argentina,Argentina,TÃ¼rkiye,Rest of World,58229161.0,111242.499
2012,Argentina,Argentina,Egypt,Egypt,99077430.0,195836.0
2012,Argentina,Argentina,United Kingdom,Rest of World,117870.0,242.497
2012,Argentina,Argentina,USA,USA,5099443.0,5912.563
2012,Argentina,Argentina,USA,USA,7708159.0,10931.925
2012,Argentina,Argentina,Uruguay,Rest of World,13077654.0,15136.868
2012,Argentina,Argentina,Uruguay,Rest of World,5605.0,8.0
2012,Argentina,Argentina,Venezuela,Rest of World,20883192.0,40000.0
2012,Australia,Rest of World,"China, Hong Kong SAR",Rest of World,2216.0,2.0
2012,Australia,Rest of World,Rep. of Korea,Rest of World,1241861.0,1059.002
2012,Australia,Rest of World,Malaysia,Other ASEAN,3082.0,1.6
2012,Australia,Rest of World,Malaysia,Other ASEAN,4623.0,2.4
2012,Australia,Rest of World,Maldives,Rest of World,138.0,0.019
2012,Australia,Rest of World,Maldives,Rest of World,5420.0,0.748
2012,Australia,Rest of World,"Other Asia, nes",Rest of World,741911.0,948.0
2012,Australia,Rest of World,Oman,Middle East,5550.0,0.677
2012,Australia,Rest of World,New Caledonia,Rest of World,11713.0,8.0
2012,Australia,Rest of World,New Zealand,Rest of World,27410.0,19.019
2012,Australia,Rest of World,New Zealand,Rest of World,9434.0,5.698
2012,Australia,Rest of World,Papua New Guinea,Rest of World,151920.0,160.42
2012,Australia,Rest of World,Papua New Guinea,Rest of World,38858.0,0.379
2012,Australia,Rest of World,Singapore,Other ASEAN,15.0,0.05
2012,Australia,Rest of World,Slovenia,European Union,63.0,0.03
2012,Australia,Rest of World,Thailand,Thailand,1278508.0,2541.53
2012,Australia,Rest of World,Uruguay,Rest of World,250.0,0.028
2012,Australia,Rest of World,Yemen,Middle East,12999.0,22.625
2012,Austria,European Union,Azerbaijan,Rest of World,14910.0,6.285
2012,Austria,European Union,Belgium,European Union,298.0,0.159
2012,Austria,European Union,Belgium,European Union,1710664.0,2228.865
2012,Austria,European Union,Bosnia Herzegovina,Rest of World,1804.0,0.587
2012,Austria,European Union,Bulgaria,European Union,7421.0,0.16
2012,Austria,European Union,Chile,Rest of World,22.0,0.001
2012,Austria,European Union,Croatia,European Union,20267.0,19.506
2012,Austria,European Union,Croatia,European Union,248886.0,239.142
2012,Austria,European Union,Czechia,European Union,263172.0,278.647
2012,Austria,European Union,Czechia,European Union,576069.0,558.714
2012,Austria,European Union,Denmark,European Union,11590.0,11.25
2012,Austria,European Union,Denmark,European Union,770109.0,839.324
2012,Austria,European Union,Estonia,European Union,1576.0,2.592
2012,Austria,European Union,Finland,European Union,29479.0,24.001
2012,Austria,European Union,France,European Union,117134.0,67.155
2012,Austria,European Union,France,European Union,751473.0,606.841
